Scenario,State,Year,Nominal Capacity (GW),Peak Load (GW),Annual Energy (TWh)
Historical,NM,2021,0.036,0.036,0.306
Historical,NM,2022,0.046,0.043,0.348
Historical,NM,2023,0.046,0.045,0.368
Historical,NM,2024,0.393,0.117,0.98
Low,NM,2024,0.353,0.108,0.911
Low,NM,2025,0.358,0.172,1.44
Low,NM,2026,0.364,0.236,1.98
Low,NM,2027,0.369,0.301,2.53
Low,NM,2028,0.374,0.367,3.09
Low,NM,2029,0.379,0.372,3.13
Low,NM,2030,0.385,0.376,3.16
Medium,NM,2024,0.393,0.117,0.98
Medium,NM,2025,0.44,0.196,1.65
Medium,NM,2026,0.488,0.284,2.39
Medium,NM,2027,0.535,0.38,3.19
Medium,NM,2028,0.582,0.483,4.06
Medium,NM,2029,0.629,0.523,4.4
Medium,NM,2030,0.676,0.562,4.73
High,NM,2024,0.434,0.125,1.05
High,NM,2025,0.549,0.226,1.9
High,NM,2026,0.664,0.346,2.91
High,NM,2027,0.778,0.486,4.09
High,NM,2028,0.893,0.644,5.43
High,NM,2029,1.01,0.742,6.26
High,NM,2030,1.12,0.836,7.05
