# Other region hierarchy levels (st; transreg; transgrp; interconnect; etc) can be used
# in the first column; they should match the level in the file title: loadsite_{level}_{name}.csv.
# Values for multiple states/transgrps/etc. in a given year should be added in long format.
*loadsitereg,t,MW
AL,2026,0.361
AL,2027,0.384
AL,2028,0.407
AL,2029,0.431
AL,2030,0.454
AL,2031,0.4782273781902553
AL,2032,0.503747632710849
AR,2026,0.008
AR,2027,0.008
AR,2028,0.008
AR,2029,0.008
AR,2030,0.008
AR,2031,0.008
AR,2032,0.008
AZ,2026,1.95
AZ,2027,2.1
AZ,2028,2.24
AZ,2029,2.39
AZ,2030,2.54
AZ,2031,2.6994142259414224
AZ,2032,2.8688335288247755
CA,2026,1.35
CA,2027,1.38
CA,2028,1.42
CA,2029,1.45
CA,2030,1.49
CA,2031,1.531103448275862
CA,2032,1.5733407847800238
CO,2026,0.283
CO,2027,0.295
CO,2028,0.308
CO,2029,0.32
CO,2030,0.332
CO,2031,0.34445000000000003
CO,2032,0.3573668750000001
CT,2026,0.074
CT,2027,0.096
CT,2028,0.118
CT,2029,0.14
CT,2030,0.162
CT,2031,0.18745714285714285
CT,2032,0.216914693877551
DE,2026,0.01
DE,2027,0.01
DE,2028,0.01
DE,2029,0.01
DE,2030,0.01
DE,2031,0.01
DE,2032,0.01
FL,2026,0.237
FL,2027,0.263
FL,2028,0.29
FL,2029,0.316
FL,2030,0.342
FL,2031,0.3701392405063291
FL,2032,0.40059373497836887
GA,2026,2.01
GA,2027,2.26
GA,2028,2.51
GA,2029,2.76
GA,2030,3.01
GA,2031,3.2826449275362317
GA,2032,3.57998595358118
IA,2026,1.53
IA,2027,1.53
IA,2028,1.53
IA,2029,1.53
IA,2030,1.53
IA,2031,1.53
IA,2032,1.53
ID,2026,0.143
ID,2027,0.18
ID,2028,0.216
ID,2029,0.253
ID,2030,0.29
ID,2031,0.3324110671936758
ID,2032,0.3810245434235809
IL,2026,1.5
IL,2027,1.58
IL,2028,1.65
IL,2029,1.72
IL,2030,1.8
IL,2031,1.8837209302325584
IL,2032,1.9713358572201194
IN,2026,0.85
IN,2027,1.16
IN,2028,1.47
IN,2029,1.77
IN,2030,2.08
IN,2031,2.4442937853107347
IN,2032,2.872390436975327
KS,2026,0.037
KS,2027,0.037
KS,2028,0.037
KS,2029,0.037
KS,2030,0.037
KS,2031,0.037
KS,2032,0.037
KY,2026,0.372
KY,2027,0.381
KY,2028,0.39
KY,2029,0.399
KY,2030,0.408
KY,2031,0.41720300751879696
KY,2032,0.42661360167335627
LA,2026,0.276
LA,2027,0.409
LA,2028,0.543
LA,2029,0.676
LA,2030,0.809
LA,2031,0.9681671597633136
LA,2032,1.158649751846924
MA,2026,0.16
MA,2027,0.16
MA,2028,0.16
MA,2029,0.16
MA,2030,0.16
MA,2031,0.16
MA,2032,0.16
MD,2026,0.222
MD,2027,0.303
MD,2028,0.384
MD,2029,0.466
MD,2030,0.547
MD,2031,0.642079399141631
MD,2032,0.7536854749580948
ME,2026,0.003
ME,2027,0.003
ME,2028,0.003
ME,2029,0.003
ME,2030,0.003
ME,2031,0.003
ME,2032,0.003
MI,2026,0.099
MI,2027,0.104
MI,2028,0.109
MI,2029,0.113
MI,2030,0.118
MI,2031,0.12322123893805308
MI,2032,0.12867350614770143
MN,2026,0.144
MN,2027,0.172
MN,2028,0.2
MN,2029,0.228
MN,2030,0.256
MN,2031,0.28743859649122805
MN,2032,0.32273807325330867
MO,2026,0.256
MO,2027,0.282
MO,2028,0.308
MO,2029,0.333
MO,2030,0.359
MO,2031,0.38703003003002995
MO,2032,0.41724859093327543
MS,2026,0.221
MS,2027,0.316
MS,2028,0.411
MS,2029,0.507
MS,2030,0.602
MS,2031,0.714800788954635
MS,2032,0.8487378204155624
MT,2026,0.096
MT,2027,0.096
MT,2028,0.096
MT,2029,0.096
MT,2030,0.096
MT,2031,0.096
MT,2032,0.096
NC,2026,0.769
NC,2027,0.85
NC,2028,0.932
NC,2029,1.01
NC,2030,1.1
NC,2031,1.1980198019801982
NC,2032,1.304774041760612
ND,2026,0.645
ND,2027,0.666
ND,2028,0.687
ND,2029,0.708
ND,2030,0.729
ND,2031,0.7506228813559321
ND,2032,0.7728871193622521
NE,2026,1.03
NE,2027,1.06
NE,2028,1.09
NE,2029,1.13
NE,2030,1.16
NE,2031,1.1907964601769911
NE,2032,1.2224105254914246
NH,2026,0.003
NH,2027,0.003
NH,2028,0.003
NH,2029,0.003
NH,2030,0.003
NH,2031,0.003
NH,2032,0.003
NJ,2026,0.604
NJ,2027,0.628
NJ,2028,0.653
NJ,2029,0.677
NJ,2030,0.701
NJ,2031,0.7258508124076808
NJ,2032,0.7515825989627536
NM,2026,0.364
NM,2027,0.369
NM,2028,0.374
NM,2029,0.379
NM,2030,0.385
NM,2031,0.39109498680738786
NM,2032,0.3972864641710932
NV,2026,0.872
NV,2027,0.971
NV,2028,1.07
NV,2029,1.17
NV,2030,1.27
NV,2031,1.3785470085470088
NV,2032,1.4963715391920525
NY,2026,1.01
NY,2027,1.04
NY,2028,1.06
NY,2029,1.09
NY,2030,1.11
NY,2031,1.1303669724770644
NY,2032,1.151107650871139
OH,2026,2.41
OH,2027,2.62
OH,2028,2.83
OH,2029,3.04
OH,2030,3.25
OH,2031,3.474506578947368
OH,2032,3.714521836045706
OK,2026,0.736
OK,2027,0.769
OK,2028,0.802
OK,2029,0.835
OK,2030,0.868
OK,2031,0.9023041916167664
OK,2032,0.9379641177525189
OR,2026,2.41
OR,2027,2.47
OR,2028,2.53
OR,2029,2.58
OR,2030,2.64
OR,2031,2.7013953488372096
OR,2032,2.764218496484587
PA,2026,0.696
PA,2027,0.774
PA,2028,0.852
PA,2029,0.93
PA,2030,1.01
PA,2031,1.0968817204301076
PA,2032,1.1912371372412995
RI,2026,0.002
RI,2027,0.002
RI,2028,0.002
RI,2029,0.002
RI,2030,0.002
RI,2031,0.002
RI,2032,0.002
SC,2026,0.643
SC,2027,0.7
SC,2028,0.757
SC,2029,0.814
SC,2030,0.871
SC,2031,0.9319914004914005
SC,2032,0.9972536975774077
SD,2026,0.023
SD,2027,0.023
SD,2028,0.023
SD,2029,0.023
SD,2030,0.023
SD,2031,0.023
SD,2032,0.023
TN,2026,0.698
TN,2027,0.725
TN,2028,0.752
TN,2029,0.779
TN,2030,0.805
TN,2031,0.8318677792041079
TN,2032,0.8596323007179806
TX,2026,7.12
TX,2027,7.41
TX,2028,7.7
TX,2029,7.98
TX,2030,8.27
TX,2031,8.570538847117794
TX,2032,8.881999532038114
US,2026,42.2
US,2027,45.6
US,2028,49.1
US,2029,52.6
US,2030,56.1
US,2031,59.83288973384031
US,2032,63.81416566670041
UT,2026,0.423
UT,2027,0.444
UT,2028,0.465
UT,2029,0.486
UT,2030,0.506
UT,2031,0.5268230452674897
UT,2032,0.548503005978086
VA,2026,8.01
VA,2027,9.05
VA,2028,10.1
VA,2029,11.1
VA,2030,12.2
VA,2031,13.409009009009006
VA,2032,14.737829721613501
VT,2026,0.001
VT,2027,0.001
VT,2028,0.001
VT,2029,0.001
VT,2030,0.001
VT,2031,0.001
VT,2032,0.001
WA,2026,1.07
WA,2027,1.08
WA,2028,1.09
WA,2029,1.11
WA,2030,1.12
WA,2031,1.13009009009009
WA,2032,1.1402710818927033
WI,2026,0.085
WI,2027,0.102
WI,2028,0.12
WI,2029,0.137
WI,2030,0.154
WI,2031,0.17310948905109488
WI,2032,0.194590228568384
WV,2026,0.0
WV,2027,0.0
WV,2028,0.0
WV,2029,0.0
WV,2030,0.0
WV,2031,0.0
WV,2032,0.0
WY,2026,0.358
WY,2027,0.384
WY,2028,0.41
WY,2029,0.436
WY,2030,0.463
WY,2031,0.49167201834862395
WY,2032,0.5221195974665434
