# Other region hierarchy levels (st; transreg; transgrp; interconnect; etc) can be used
# in the first column; they should match the level in the file title: loadsite_{level}_{name}.csv.
# Values for multiple states/transgrps/etc. in a given year should be added in long format.
*loadsitereg,t,MW
AL,2026,358.0
AL,2027,462.0
AL,2028,583.0
AL,2029,677.0
AL,2030,768.0
AL,2031,871.231905465288
AL,2032,988.3398868498393
AR,2026,8.0
AR,2027,11.0
AR,2028,13.0
AR,2029,13.0
AR,2030,13.0
AR,2031,13.0
AR,2032,13.0
AZ,2026,1750.0
AZ,2027,2300.0
AZ,2028,2920.0
AZ,2029,3380.0
AZ,2030,3820.0
AZ,2031,4317.278106508876
AZ,2032,4879.290641083996
CA,2026,1440.0
CA,2027,1680.0
CA,2028,1930.0
CA,2029,2130.0
CA,2030,2340.0
CA,2031,2570.704225352113
CA,2032,2824.1539377107724
CO,2026,284.0
CO,2027,312.0
CO,2028,343.0
CO,2029,368.0
CO,2030,391.0
CO,2031,415.4375
CO,2032,441.40234375
CT,2026,62.0
CT,2027,91.0
CT,2028,129.0
CT,2029,176.0
CT,2030,223.0
CT,2031,282.5511363636364
CT,2032,358.0051330061984
DE,2026,10.0
DE,2027,13.0
DE,2028,16.0
DE,2029,16.0
DE,2030,16.0
DE,2031,16.0
DE,2032,16.0
FL,2026,233.0
FL,2027,291.0
FL,2028,350.0
FL,2029,416.0
FL,2030,480.0
FL,2031,553.8461538461538
FL,2032,639.0532544378698
GA,2026,1940.0
GA,2027,2640.0
GA,2028,3420.0
GA,2029,4190.0
GA,2030,4950.0
GA,2031,5847.852028639618
GA,2032,6908.560272497878
IA,2026,1590.0
IA,2027,1960.0
IA,2028,2350.0
IA,2029,2580.0
IA,2030,2790.0
IA,2031,3017.093023255814
IA,2032,3262.670362358031
ID,2026,124.0
ID,2027,194.0
ID,2028,281.0
ID,2029,367.0
ID,2030,450.0
ID,2031,551.7711171662124
ID,2032,676.5585905307781
IL,2026,1730.0
IL,2027,2170.0
IL,2028,2690.0
IL,2029,3160.0
IL,2030,3630.0
IL,2031,4169.9050632911385
IL,2032,4790.1124619452
IN,2026,925.0
IN,2027,1650.0
IN,2028,2550.0
IN,2029,3610.0
IN,2030,4630.0
IN,2031,5938.1994459833795
IN,2032,7616.028652327714
KS,2026,30.0
KS,2027,40.0
KS,2028,50.0
KS,2029,51.0
KS,2030,51.0
KS,2031,51.0
KS,2032,51.0
KY,2026,290.0
KY,2027,359.0
KY,2028,432.0
KY,2029,475.0
KY,2030,518.0
KY,2031,564.8926315789474
KY,2032,616.0302803324101
LA,2026,169.0
LA,2027,334.0
LA,2028,551.0
LA,2029,816.0
LA,2030,1080.0
LA,2031,1429.4117647058822
LA,2032,1891.8685121107264
MA,2026,172.0
MA,2027,177.0
MA,2028,181.0
MA,2029,181.0
MA,2030,181.0
MA,2031,181.0
MA,2032,181.0
MD,2026,254.0
MD,2027,464.0
MD,2028,736.0
MD,2029,1060.0
MD,2030,1370.0
MD,2031,1770.6603773584907
MD,2032,2288.495016019936
ME,2026,5.0
ME,2027,6.0
ME,2028,8.0
ME,2029,11.0
ME,2030,13.0
ME,2031,15.363636363636365
ME,2032,18.157024793388434
MI,2026,85.0
MI,2027,110.0
MI,2028,132.0
MI,2029,148.0
MI,2030,164.0
MI,2031,181.72972972972974
MI,2032,201.37618699780865
MN,2026,206.0
MN,2027,313.0
MN,2028,447.0
MN,2029,595.0
MN,2030,733.0
