# Other region hierarchy levels (st; transreg; transgrp; interconnect; etc) can be used
# in the first column; they should match the level in the file title: loadsite_{level}_{name}.csv.
# Values for multiple states/transgrps/etc. in a given year should be added in long format.
*loadsitereg,t,MW
AL,2026,267.0
AL,2027,311.0
AL,2028,358.0
AL,2029,380.0
AL,2030,401.0
AL,2031,423.1605263157895
AL,2032,446.54571329639896
AR,2026,4.0
AR,2027,6.0
AR,2028,7.0
AR,2029,7.0
AR,2030,7.0
AR,2031,7.0
AR,2032,7.0
AZ,2026,1300.0
AZ,2027,1560.0
AZ,2028,1840.0
AZ,2029,1960.0
AZ,2030,2080.0
AZ,2031,2207.3469387755104
AZ,2032,2342.4906289046235
CA,2026,1130.0
CA,2027,1190.0
CA,2028,1220.0
CA,2029,1250.0
CA,2030,1270.0
CA,2031,1290.32
CA,2032,1310.9651199999998
CO,2026,242.0
CO,2027,250.0
CO,2028,258.0
CO,2029,268.0
CO,2030,277.0
CO,2031,286.30223880597015
CO,2032,295.91686622855866
CT,2026,44.0
CT,2027,56.0
CT,2028,71.0
CT,2029,90.0
CT,2030,109.0
CT,2031,132.0111111111111
CT,2032,159.8801234567901
DE,2026,6.0
DE,2027,8.0
DE,2028,10.0
DE,2029,10.0
DE,2030,10.0
DE,2031,10.0
DE,2032,10.0
FL,2026,202.0
FL,2027,232.0
FL,2028,255.0
FL,2029,279.0
FL,2030,301.0
FL,2031,324.73476702508964
FL,2032,350.3410927403297
GA,2026,1300.0
GA,2027,1570.0
GA,2028,1800.0
GA,2029,2020.0
GA,2030,2230.0
GA,2031,2461.831683168317
GA,2032,2717.76467993334
IA,2026,1240.0
IA,2027,1410.0
IA,2028,1550.0
IA,2029,1550.0
IA,2030,1550.0
IA,2031,1550.0
IA,2032,1550.0
ID,2026,68.0
ID,2027,98.0
ID,2028,134.0
ID,2029,167.0
ID,2030,198.0
ID,2031,234.75449101796409
ID,2032,278.3316719853706
IL,2026,1210.0
IL,2027,1320.0
IL,2028,1420.0
IL,2029,1480.0
IL,2030,1540.0
IL,2031,1602.4324324324325
IL,2032,1667.3959094229365
IN,2026,345.0
IN,2027,556.0
IN,2028,797.0
IN,2029,1070.0
IN,2030,1340.0
IN,2031,1678.1308411214952
IN,2032,2101.5844178530874
KS,2026,22.0
KS,2027,29.0
KS,2028,36.0
KS,2029,36.0
KS,2030,36.0
KS,2031,36.0
KS,2032,36.0
KY,2026,245.0
KY,2027,286.0
KY,2028,322.0
KY,2029,330.0
KY,2030,338.0
KY,2031,346.1939393939394
KY,2032,354.58651974288335
LA,2026,90.0
LA,2027,173.0
LA,2028,283.0
LA,2029,417.0
LA,2030,549.0
LA,2031,722.7841726618706
LA,2032,951.5791625692253
MA,2026,158.0
MA,2027,158.0
MA,2028,158.0
MA,2029,158.0
MA,2030,158.0
MA,2031,158.0
MA,2032,158.0
MD,2026,84.0
MD,2027,136.0
MD,2028,201.0
MD,2029,270.0
MD,2030,336.0
MD,2031,418.1333333333333
MD,2032,520.3437037037037
ME,2026,3.0
ME,2027,3.0
ME,2028,3.0
ME,2029,3.0
ME,2030,3.0
ME,2031,3.0
