# Other region hierarchy levels (st; transreg; transgrp; interconnect; etc) can be used
# in the first column; they should match the level in the file title: loadsite_{level}_{name}.csv.
# Values for multiple states/transgrps/etc. in a given year should be added in long format.
*loadsitereg,t,MW
AL,2026,0.495
AL,2027,0.566
AL,2028,0.638
AL,2029,0.709
AL,2030,0.78
AL,2031,0.8581100141043725
AL,2032,0.9440420465464183
AR,2026,0.011
AR,2027,0.011
AR,2028,0.011
AR,2029,0.011
AR,2030,0.011
AR,2031,0.011
AR,2032,0.011
AZ,2026,2.53
AZ,2027,2.86
AZ,2028,3.19
AZ,2029,3.52
AZ,2030,3.85
AZ,2031,4.2109375
AZ,2032,4.605712890625
CA,2026,1.76
CA,2027,1.9
CA,2028,2.03
CA,2029,2.16
CA,2030,2.3
CA,2031,2.4490740740740735
CA,2032,2.6078103566529482
CO,2026,0.307
CO,2027,0.331
CO,2028,0.355
CO,2029,0.379
CO,2030,0.404
CO,2031,0.4306490765171505
CO,2032,0.45905600768582805
CT,2026,0.101
CT,2027,0.136
CT,2028,0.172
CT,2029,0.207
CT,2030,0.243
CT,2031,0.2852608695652174
CT,2032,0.33487145557655956
DE,2026,0.014
DE,2027,0.014
DE,2028,0.014
DE,2029,0.014
DE,2030,0.014
DE,2031,0.014
DE,2032,0.014
FL,2026,0.3
FL,2027,0.356
FL,2028,0.412
FL,2029,0.468
FL,2030,0.524
FL,2031,0.5867008547008548
FL,2032,0.6569043757761707
GA,2026,2.97
GA,2027,3.57
GA,2028,4.16
GA,2029,4.76
GA,2030,5.36
GA,2031,6.035630252100842
GA,2032,6.796423981357251
IA,2026,1.86
IA,2027,1.95
IA,2028,2.03
IA,2029,2.12
IA,2030,2.2
IA,2031,2.2830188679245285
IA,2032,2.369170523317907
ID,2026,0.244
ID,2027,0.321
ID,2028,0.399
ID,2029,0.476
ID,2030,0.554
ID,2031,0.6447815126050421
ID,2032,0.75043898735965
IL,2026,2.18
IL,2027,2.46
IL,2028,2.75
IL,2029,3.04
IL,2030,3.33
IL,2031,3.6476644736842108
IL,2032,3.9956324662396128
IN,2026,1.94
IN,2027,2.76
IN,2028,3.59
IN,2029,4.41
IN,2030,5.24
IN,2031,6.226213151927438
IN,2032,7.398040117029428
KS,2026,0.045
KS,2027,0.045
KS,2028,0.045
KS,2029,0.045
KS,2030,0.045
KS,2031,0.045
KS,2032,0.045
KY,2026,0.437
KY,2027,0.467
KY,2028,0.498
KY,2029,0.529
KY,2030,0.56
KY,2031,0.5928166351606806
KY,2032,0.6275563623629133
LA,2026,0.383
LA,2027,0.57
LA,2028,0.757
LA,2029,0.943
LA,2030,1.13
LA,2031,1.3540827147401906
LA,2032,1.6226017684585528
MA,2026,0.171
MA,2027,0.171
MA,2028,0.171
MA,2029,0.171
MA,2030,0.171
MA,2031,0.171
MA,2032,0.171
MD,2026,0.568
MD,2027,0.82
MD,2028,1.07
MD,2029,1.32
MD,2030,1.58
MD,2031,1.8912121212121213
MD,2032,2.2637235996326908
ME,2026,0.005
ME,2027,0.006
ME,2028,0.007
ME,2029,0.008
ME,2030,0.009
ME,2031,0.010124999999999999
ME,2032,0.011390624999999998
MI,2026,0.124
MI,2027,0.138
MI,2028,0.151
MI,2029,0.165
MI,2030,0.179
MI,2031,0.19418787878787877
MI,2032,0.21066442607897148
MN,2026,0.271
MN,2027,0.353
MN,2028,0.435
MN,2029,0.517
MN,2030,0.6
MN,2031,0.6963249516441005
MN,2032,0.8081140638035982
MO,2026,0.335
MO,2027,0.39
MO,2028,0.446
MO,2029,0.501
MO,2030,0.556
MO,2031,0.6170379241516967
MO,2032,0.684776618419847
MS,2026,0.469
MS,2027,0.681
MS,2028,0.892
MS,2029,1.1
MS,2030,1.32
MS,2031,1.584
MS,2032,1.9008
MT,2026,0.106
MT,2027,0.106
MT,2028,0.106
MT,2029,0.106
MT,2030,0.106
MT,2031,0.106
MT,2032,0.106
NC,2026,1.12
NC,2027,1.3
NC,2028,1.49
NC,2029,1.67
NC,2030,1.86
NC,2031,2.0716167664670664
NC,2032,2.3073096919932596
ND,2026,0.687
ND,2027,0.71
ND,2028,0.733
ND,2029,0.757
ND,2030,0.78
ND,2031,0.8036988110964334
ND,2032,0.8281176653305391
NE,2026,1.14
NE,2027,1.2
NE,2028,1.26
NE,2029,1.32
NE,2030,1.38
NE,2031,1.4427272727272726
NE,2032,1.5083057851239667
NH,2026,0.004
NH,2027,0.004
NH,2028,0.004
NH,2029,0.004
NH,2030,0.004
NH,2031,0.004
NH,2032,0.004
NJ,2026,0.69
NJ,2027,0.757
NJ,2028,0.825
NJ,2029,0.892
NJ,2030,0.96
NJ,2031,1.0331838565022422
NJ,2032,1.1119467513925476
NM,2026,0.488
NM,2027,0.535
NM,2028,0.582
NM,2029,0.629
NM,2030,0.676
NM,2031,0.7265119236883943
NM,2032,0.7807981882565256
NV,2026,1.42
NV,2027,1.7
NV,2028,1.97
NV,2029,2.25
NV,2030,2.53
NV,2031,2.844844444444444
NV,2032,3.198869530864197
NY,2026,1.22
NY,2027,1.29
NY,2028,1.35
NY,2029,1.42
NY,2030,1.49
NY,2031,1.5634507042253523
NY,2032,1.6405222178139263
OH,2026,3.1
OH,2027,3.6
OH,2028,4.09
OH,2029,4.59
OH,2030,5.09
OH,2031,5.6444662309368185
OH,2032,6.2593318334353825
OK,2026,0.836
OK,2027,0.882
OK,2028,0.927
OK,2029,0.973
OK,2030,1.02
OK,2031,1.0692702980472766
OK,2032,1.120920559104031
OR,2026,3.2
OR,2027,3.31
OR,2028,3.42
OR,2029,3.53
OR,2030,3.63
OR,2031,3.732832861189802
OR,2032,3.838578834594612
PA,2026,1.35
PA,2027,1.72
PA,2028,2.08
PA,2029,2.44
PA,2030,2.8
PA,2031,3.2131147540983602
PA,2032,3.6871808653587737
RI,2026,0.003
RI,2027,0.003
RI,2028,0.003
RI,2029,0.003
RI,2030,0.003
RI,2031,0.003
RI,2032,0.003
SC,2026,0.904
SC,2027,1.08
SC,2028,1.26
SC,2029,1.43
SC,2030,1.61
SC,2031,1.8126573426573431
SC,2032,2.0408240011736525
SD,2026,0.03
SD,2027,0.03
SD,2028,0.03
SD,2029,0.031
SD,2030,0.031
SD,2031,0.031
SD,2032,0.031
TN,2026,0.914
TN,2027,0.994
TN,2028,1.07
TN,2029,1.15
TN,2030,1.23
TN,2031,1.3155652173913044
TN,2032,1.4070827977315692
TX,2026,9.56
TX,2027,10.7
TX,2028,11.8
TX,2029,12.9
TX,2030,14.1
TX,2031,15.411627906976744
TX,2032,16.845267712276904
UT,2026,0.62
UT,2027,0.682
UT,2028,0.744
UT,2029,0.805
UT,2030,0.867
UT,2031,0.933775155279503
UT,2032,1.0056932417730797
VA,2026,11.7
VA,2027,14.3
VA,2028,17.0
VA,2029,19.7
VA,2030,22.3
VA,2031,25.243147208121833
VA,2032,28.57473008838157
VT,2026,0.002
VT,2027,0.002
VT,2028,0.002
VT,2029,0.002
VT,2030,0.002
VT,2031,0.002
VT,2032,0.002
WA,2026,1.21
WA,2027,1.23
WA,2028,1.25
WA,2029,1.27
WA,2030,1.3
WA,2031,1.330708661417323
WA,2032,1.3621427242854487
WI,2026,0.192
WI,2027,0.246
WI,2028,0.3
WI,2029,0.354
WI,2030,0.409
WI,2031,0.47254519774011294
WI,2032,0.5459632369370231
WV,2026,0.0
WV,2027,0.0
WV,2028,0.0
WV,2029,0.0
WV,2030,0.0
WV,2031,0.0
WV,2032,0.0
WY,2026,0.485
WY,2027,0.557
WY,2028,0.629
WY,2029,0.701
WY,2030,0.773
WY,2031,0.85239514978602
WY,2032,0.9399450082519166
