r,rr,status,trtype,t,MW
oWA,WA,Possible,VSC,2010,100000
oOR_N,OR,Possible,VSC,2010,100000
oOR_S,OR,Possible,VSC,2010,100000
oCA_NNN,CA,Possible,VSC,2010,100000
oCA_NN,CA,Possible,VSC,2010,100000
oCA_N,CA,Possible,VSC,2010,100000
oCA_S,CA,Possible,VSC,2010,100000
oTX,TX,Possible,VSC,2010,100000
oLA,LA,Possible,VSC,2010,100000
oMS,MS,Possible,VSC,2010,100000
oAL,AL,Possible,VSC,2010,100000
oFL_W,FL,Possible,VSC,2010,100000
oFL_E,FL,Possible,VSC,2010,100000
oGA,GA,Possible,VSC,2010,100000
oSC,SC,Possible,VSC,2010,100000
oNC_S,NC,Possible,VSC,2010,100000
oNC_N,NC,Possible,VSC,2010,100000
oVA,VA,Possible,VSC,2010,100000
oMD,MD,Possible,VSC,2010,100000
oDE,DE,Possible,VSC,2010,100000
oNJ,NJ,Possible,VSC,2010,100000
oNY,NY,Possible,VSC,2010,100000
oCT,CT,Possible,VSC,2010,100000
oRI,RI,Possible,VSC,2010,100000
oMA,MA,Possible,VSC,2010,100000
oNH,NH,Possible,VSC,2010,100000
oME,ME,Possible,VSC,2010,100000
